frame,gtoid,oid_1,oid_2,x,y,z,dt1,dt2,dt3,gtx,gty,gtz,ee
81500.0,0,0.0,0.0,-0.28881055,4.0259275,1.6895952,0.007081564440284183,0.006590485560309389,-1,-0.28881075110000004,4.025928988,1.689595995,1.6501353122848969e-06
81500.0,2,2.0,2.0,-0.1269311,4.0890083,1.6754829,0.001345510354894941,0.0012219410805869302,-1,-0.1269309965,4.089008156,1.675482569,3.629826657538306e-07
81500.0,1,1.0,1.0,1.5106413,4.3478236,1.6994394,0.12068383366937496,0.10448309001066036,-1,1.510641286,4.347824128,1.699439498,5.188061268464349e-07
81501.0,0,0.0,0.0,-0.288872,4.0259686,1.6896331,0.006858366171115904,0.006357243688171366,-1,-0.28887188280000003,4.025968413,1.6896328120000002,3.6821200277369927e-07
81501.0,2,2.0,2.0,-0.12695035,4.089094,1.6754814,0.0015590808650927102,0.0014150806990187448,-1,-0.1269505467,4.089094474,1.675481614,4.0678649211980364e-07
81501.0,1,1.0,1.0,1.5107235,4.3478456,1.6994325,0.12056756662320822,0.10437766237095047,-1,1.51072355,4.347845721,1.6994325440000002,1.9128275651950928e-07
81502.0,0,0.0,0.0,-0.2889812,4.026021,1.6896601,0.006651742216433831,0.006181235846952404,-1,-0.28898119460000005,4.026021223,1.6896598939999998,2.8267383125617617e-07
81502.0,1,1.0,1.0,1.5111773,4.3476577,1.6998112,0.12786432625568978,0.11071378282537125,-1,1.511177156,4.347658752999999,1.699811602,1.1476801173141036e-06
81502.0,2,2.0,2.0,-0.12693769,4.089095,1.6755129,0.0018744257400271636,0.0016981583160031732,-1,-0.1269377545,4.089094419,1.675512455,8.347241638255496e-07
81503.0,0,0.0,0.0,-0.28892806,4.026011,1.6895909,0.006942398710179987,0.006448225232020377,-1,-0.2889280602,4.026011486,1.689590993,4.997281907067547e-07
81503.0,1,1.0,1.0,1.5111693,4.3475623,1.6998762,0.1292923018579586,0.11194773136116964,-1,1.511169081,4.3475619,1.6998759620000001,5.260585326293598e-07
81503.0,2,2.0,2.0,-0.12709074,4.089062,1.6754282,0.0010707532345008985,0.000954941093425532,-1,-0.12709082700000002,4.08906272,1.6754283479999998,5.500747879089755e-07
81504.0,0,0.0,0.0,-0.2889805,4.02606,1.689632,0.006676233198334103,0.0062161937065638995,-1,-0.2889806931000001,4.026060879,1.6896324090000001,8.690777661064174e-07
81504.0,1,1.0,1.0,1.5112449,4.3475275,1.699951,0.1307277924245227,0.11319560469138423,-1,1.511245148,4.347528317,1.699951367,9.081935302496959e-07
81504.0,2,2.0,2.0,-0.12695542,4.0891294,1.6755012,0.0018376578073571181,0.0016642058199636267,-1,-0.1269554615,4.089129798,1.675501203,3.5338234316514277e-07
