frame,gtoid,oid_1,oid_2,x,y,z,dt1,dt2,dt3,gtx,gty,gtz,ee,kcounter
2500.0,2,2.0,2.0,-0.8013593,4.4349847,1.702815,0.0002965928758840164,0.00027906728490734167,-1,-0.8013595674894909,4.4349854895515,1.7028156292435699,1.0254280594880657e-06,-1.0
2501.0,2,2.0,2.0,-0.7995247,4.435132,1.7034309,0.0003174188659045285,0.000293014956071147,-1,-0.7995246914217402,4.43513243951302,1.70343088012781,4.1430604307987325e-07,-1.0
2502.0,2,2.0,2.0,-0.79966545,4.4350586,1.7035277,0.00032960743942567206,0.000303260438442976,-1,-0.799665497612267,4.4350585053051,1.70352772162992,1.051502442690836e-07,-1.0
2503.0,2,2.0,2.0,-0.7997529,4.4352355,1.7036217,0.00029138554901919633,0.0002749213286961094,-1,-0.799752773554528,4.43523452471854,1.70362101176669,1.2261439537577282e-06,-1.0
2504.0,2,2.0,2.0,-0.8016535,4.4350443,1.7031412,0.00028965655491219877,0.0002745466992450929,-1,-0.8016537711591051,4.43504475519684,1.70314145650556,5.902642199987124e-07,-1.0
2505.0,2,2.0,2.0,-0.7998639,4.435235,1.7035935,0.00031483163894563404,0.000295024334207028,-1,-0.799863892369746,4.4352348410839095,1.70359335443349,2.2944370034270333e-07,-1.0
2506.0,2,2.0,2.0,-0.8017396,4.434893,1.7030164,0.0003245883758040691,0.00030652992285240543,-1,-0.8017396687228211,4.434893049717821,1.7030163493753305,1.3534049101034013e-07,-1.0
2507.0,2,2.0,2.0,-0.8017403,4.4348454,1.7030239,0.00032791388281339096,0.0003128810689645434,-1,-0.8017404966156099,4.43484632944442,1.7030244314349199,1.045140793429684e-06,-1.0
2508.0,2,2.0,2.0,-0.80175453,4.434835,1.7030361,0.0003029805623100401,0.00029160566975861,-1,-0.801754618387909,4.43483429247199,1.7030357130001301,7.590763533579321e-07,-1.0
2509.0,2,2.0,2.0,-0.8017497,4.4347873,1.7031049,0.0003274150587913027,0.0003002420984330456,-1,-0.801749758777006,4.43478726748533,1.70310473953307,1.2573922830224792e-07,-1.0
2510.0,2,2.0,2.0,-0.8019044,4.43495,1.7032287,0.0003287581940298878,0.00031295417198862197,-1,-0.801904368588185,4.434950367142791,1.70322892682197,5.371923842776196e-07,-1.0
2511.0,2,2.0,2.0,-0.8018524,4.4348044,1.7032385,0.0003148546513216388,0.0002928562796000733,-1,-0.801852413859108,4.4348050124351,1.7032387759074803,6.415664172387445e-07,-1.0
2512.0,2,2.0,2.0,-0.80184716,4.434771,1.7032228,0.000311509807204402,0.00028965625438104325,-1,-0.8018472887135111,4.434771476611091,1.70322307824673,5.441219869271666e-07,-1.0
2513.0,2,2.0,2.0,-0.80184263,4.434733,1.7032437,0.0003079109820873782,0.0002896553072559982,-1,-0.8018424882003989,4.43473255461909,1.7032430090572301,8.200706020127235e-07,-1.0
