frame,oid,x,y,z
0,0,0.9555555555555556,-0.06666666666666667,2.388888888888889
1,0,0.8684281001688012,-0.1871274553867544,2.3982385664978656
2,0,0.7138803509818492,-0.3305640934625953,2.4750085379070397
3,0,0.6900901286700729,-0.4321320935521494,2.609909871329927
4,0,0.554054600840161,-0.4792787324931724,2.679278732493172
5,0,0.43137598166975144,-0.4797351294413597,2.7908462405524705
6,0,0.3900361538719617,-0.6099638461280383,2.8766305127947045
7,0,0.3271807472195307,-0.5026639950311629,2.9505970305582467
8,0,0.19396565559038204,-0.4250044589575698,2.972701011076284
9,0,0.08938656130991807,-0.29820314245488355,3.066168994245637
10,0,-0.02679098190242228,-0.159803377020321,3.0166581176999636
11,0,-0.1490133129407478,-0.026469934870884365,2.9611024533283046
12,0,-0.1986069471851874,0.045345921595777466,2.9670643746394205
13,0,-0.35883102537215006,0.15001444422718457,2.9623958520080134
14,0,-0.46983777376875974,0.23879897040157205,2.8402779925002926
15,0,-0.5659520831038388,0.2682466130699845,2.81083034983188
16,0,-0.491373231066784,0.309492131773706,2.714029275572603
17,0,-0.4131665365321124,0.36547660408615534,2.658044803260154
18,0,-0.3103997281629088,0.46824341245535894,2.5441668837798392
19,0,-0.2865122036110982,0.5143531592293917,2.4091682481169174
20,0,-0.12081281193634677,0.5800525509041432,2.5082009731250023
21,0,-0.05596108261927947,0.7226820579989883,2.606386035775403
22,0,0.06616279172193827,0.6116692947688817,2.7618432434499542
23,0,0.0678714538977697,0.46551618814860574,2.8746630167368967
24,0,0.05780947209769611,0.36446705883756825,2.953489923825712
25,0,0.17856111931883198,0.31038207828309905,3.0075749043801814
26,0,0.231478435435272,0.3019092066111035,2.932435366041519
27,0,0.29766039019532203,0.2579494740732757,2.7773645223925802
28,0,0.44511489895429834,0.15493940975874382,2.729910013633604
29,0,0.5155189669074876,0.11786867513888791,2.6483948345693036
30,0,0.6267630599731224,0.051069026517697486,2.637150741503669
31,0,0.6889404194695328,-0.08888611075649067,2.608306715340592
32,0,0.8172896048166627,-0.1505686294369539,2.4910686411045733
33,0,0.895066403262299,-0.206123205660368,2.5021787728835427
34,0,0.9676117664414104,-0.34533523550614603,2.5969463582848764
35,0,1.0517430701136754,-0.3850220947339666,2.625522106401586
36,0,1.0962788606309741,-0.37400232969570973,2.7700578969188845
37,0,1.144683992482563,-0.3779630171028542,2.8295741398815846
38,0,1.1924214211348894,-0.5257004457551807,2.9884226796450224
39,0,1.3142413698713793,-0.6364092833805595,3.0102426283815125
40,0,1.4225204049878166,-0.5392413593752334,2.913074704376186
41,0,1.4318690420010975,-0.5410038334730636,2.881503845140683
42,0,1.4327965803575906,-0.48452073956101505,2.7361318623397457
43,0,1.579110194328384,-0.3382071255902217,2.7231515817022856
44,0,1.6126402157184443,-0.249121548644606,2.7118437825344475
45,0,1.7776502548799344,-0.1730003983720047,2.5690559655951795
46,0,1.8987812365204768,-0.01853608339812904,2.4701472061768595
47,0,2.000154271217646,0.10505917352126234,2.515964685318473
48,0,2.0916181083140497,0.20763412172877715,2.662984077970432
49,0,2.1143541899500558,0.3525924255870052,2.7523868262731046
50,0,2.11143891379779,0.3941215938791838,2.9050271056763943
51,0,2.2744414601960496,0.40156858472188794,3.0346963187413207
52,0,2.4076262112187217,0.4236422246334489,3.023733789940871
53,0,2.55646982399852,0.5724858374132471,2.8637790660499616
54,0,2.4182341467635378,0.6107215146482291,2.8366544999260905
