frame,oid,cid,x,y
174,1,1,0.0159,0.0086
175,1,1,0.0159,0.0086
176,1,1,0.0159,0.0086
177,1,1,0.0159,0.0086
178,1,1,0.0159,0.0086
179,1,1,0.0159,0.0086
180,1,1,0.0159,0.0086
181,1,1,0.0159,0.0086
182,1,1,0.0159,0.0086
183,1,1,0.0159,0.0086
184,1,1,0.0159,0.0086
185,1,1,0.0159,0.0086
186,1,1,0.0158,0.0086
187,1,1,0.0158,0.0086
188,1,1,0.0158,0.0086
189,1,1,0.0158,0.0086
190,1,1,0.0158,0.0086
191,1,1,0.0158,0.0086
192,1,1,0.0158,0.0087
193,1,1,0.0158,0.0087
194,1,1,0.0158,0.0087
195,1,1,0.0158,0.0087
196,1,1,0.0158,0.0087
197,1,1,0.0158,0.0087
198,1,1,0.0158,0.0087
199,1,1,0.0158,0.0087
0,1,2,0.0307,0.0101
1,1,2,0.0307,0.0099
2,1,2,0.0307,0.0096
3,1,2,0.0307,0.0093
4,1,2,0.0307,0.0089
5,1,2,1.7484,0.0
6,1,2,0.3058,0.0
7,1,2,0.1716,0.0
8,1,2,0.1217,0.0
9,1,2,0.0959,0.0
10,1,2,0.0805,0.0
11,1,2,0.0704,0.0
12,1,2,0.0634,0.0
13,1,2,0.0585,0.0
14,1,2,0.055,0.0
15,1,2,0.0526,0.0
16,1,2,0.051,0.0
17,1,2,0.0501,0.0
18,1,2,0.0499,0.0
19,1,2,0.0503,0.0
20,1,2,0.0513,0.0
21,1,2,0.0531,0.0
22,1,2,0.0557,0.0
23,1,2,0.0595,0.0
24,1,2,0.0648,0.0
25,1,2,0.0724,0.0
26,1,2,0.0835,0.0
27,1,2,0.1007,0.0
28,1,2,0.1302,0.0
29,1,2,0.1906,0.0
30,1,2,0.3769,0.0
31,1,2,0.0307,0.0086
32,1,2,0.0307,0.009
33,1,2,0.0307,0.0093
34,1,2,0.0307,0.0096
35,1,2,0.0307,0.0099
36,1,2,0.0307,0.0102
37,1,2,0.0307,0.0104
38,1,2,0.0307,0.0106
39,1,2,0.0307,0.0108
40,1,2,0.0307,0.0109
41,1,2,0.0307,0.011
42,1,2,0.0307,0.0111
43,1,2,0.0307,0.0112
44,1,2,0.0307,0.0112
45,1,2,0.0307,0.0112
46,1,2,0.0307,0.0111
47,1,2,0.0307,0.0111
48,1,2,0.0307,0.0109
49,1,2,0.0307,0.0108
50,1,2,0.0307,0.0106
51,1,2,0.0307,0.0105
52,1,2,0.0307,0.0102
53,1,2,0.0307,0.01
54,1,2,0.0307,0.0097
55,1,2,0.0307,0.0094
56,1,2,0.0307,0.009
57,1,2,0.0307,0.0087
58,1,2,0.4322,0.0
59,1,2,0.203,0.0
60,1,2,0.1355,0.0
61,1,2,0.1036,0.0
62,1,2,0.0853,0.0
63,1,2,0.0736,0.0
64,1,2,0.0656,0.0
65,1,2,0.0601,0.0
66,1,2,0.0561,0.0
67,1,2,0.0533,0.0
68,1,2,0.0515,0.0
69,1,2,0.0503,0.0
70,1,2,0.0499,0.0
71,1,2,0.05,0.0
72,1,2,0.0508,0.0
73,1,2,0.0523,0.0
74,1,2,0.0546,0.0
75,1,2,0.058,0.0
76,1,2,0.0627,0.0
77,1,2,0.0693,0.0
78,1,2,0.079,0.0
79,1,2,0.0936,0.0
80,1,2,0.1175,0.0
81,1,2,0.1628,0.0
82,1,2,0.2776,0.0
83,1,2,1.0857,0.0
84,1,2,0.0307,0.0089
85,1,2,0.0307,0.0092
86,1,2,0.0307,0.0095
87,1,2,0.0307,0.0098
88,1,2,0.0307,0.0101
89,1,2,0.0307,0.0103
90,1,2,0.0307,0.0106
91,1,2,0.0307,0.0107
92,1,2,0.0307,0.0109
93,1,2,0.0307,0.011
94,1,2,0.0307,0.0111
95,1,2,0.0307,0.0112
96,1,2,0.0307,0.0112
97,1,2,0.0307,0.0112
98,1,2,0.0307,0.0111
99,1,2,0.0307,0.0111
100,1,2,0.0307,0.011
101,1,2,0.0307,0.0109
102,1,2,0.0307,0.0107
103,1,2,0.0307,0.0105
104,1,2,0.0307,0.0103
105,1,2,0.0307,0.0101
106,1,2,0.0307,0.0098
107,1,2,0.0307,0.0095
108,1,2,0.0307,0.0092
109,1,2,0.0307,0.0088
110,1,2,0.7459,0.0
111,1,2,0.2499,0.0
112,1,2,0.1535,0.0
113,1,2,0.1129,0.0
114,1,2,0.0909,0.0
115,1,2,0.0772,0.0
116,1,2,0.0682,0.0
117,1,2,0.0619,0.0
118,1,2,0.0574,0.0
119,1,2,0.0542,0.0
120,1,2,0.0521,0.0
121,1,2,0.0507,0.0
122,1,2,0.05,0.0
123,1,2,0.0499,0.0
124,1,2,0.0505,0.0
125,1,2,0.0517,0.0
126,1,2,0.0537,0.0
127,1,2,0.0567,0.0
128,1,2,0.0608,0.0
129,1,2,0.0667,0.0
130,1,2,0.0751,0.0
131,1,2,0.0875,0.0
132,1,2,0.1073,0.0
133,1,2,0.1426,0.0
134,1,2,0.2205,0.0
135,1,2,0.526,0.0
136,1,2,0.0307,0.0087
137,1,2,0.0307,0.0091
138,1,2,0.0307,0.0094
139,1,2,0.0307,0.0097
140,1,2,0.0307,0.01
141,1,2,0.0307,0.0103
142,1,2,0.0307,0.0105
143,1,2,0.0307,0.0107
144,1,2,0.0307,0.0108
145,1,2,0.0307,0.011
146,1,2,0.0307,0.0111
147,1,2,0.0307,0.0111
148,1,2,0.0307,0.0112
149,1,2,0.0307,0.0112
150,1,2,0.0307,0.0112
151,1,2,0.0307,0.0111
152,1,2,0.0307,0.011
153,1,2,0.0307,0.0109
154,1,2,0.0307,0.0108
155,1,2,0.0307,0.0106
156,1,2,0.0307,0.0104
157,1,2,0.0307,0.0102
158,1,2,0.0307,0.0099
159,1,2,0.0307,0.0096
160,1,2,0.0307,0.0093
161,1,2,0.0307,0.0089
162,1,2,2.8415,0.0
163,1,2,0.3268,0.0
164,1,2,0.1776,0.0
165,1,2,0.1245,0.0
166,1,2,0.0975,0.0
167,1,2,0.0815,0.0
168,1,2,0.071,0.0
169,1,2,0.0639,0.0
170,1,2,0.0588,0.0
171,1,2,0.0552,0.0
172,1,2,0.0527,0.0
173,1,2,0.0511,0.0
174,1,2,0.0501,0.0
175,1,2,0.0499,0.0
176,1,2,0.0502,0.0
177,1,2,0.0512,0.0
178,1,2,0.0529,0.0
179,1,2,0.0555,0.0
180,1,2,0.0592,0.0
181,1,2,0.0643,0.0
182,1,2,0.0717,0.0
183,1,2,0.0824,0.0
184,1,2,0.099,0.0
185,1,2,0.1272,0.0
186,1,2,0.1836,0.0
187,1,2,0.3491,0.0
188,1,2,0.0307,0.0086
189,1,2,0.0307,0.009
190,1,2,0.0307,0.0093
191,1,2,0.0307,0.0096
192,1,2,0.0307,0.0099
193,1,2,0.0307,0.0102
194,1,2,0.0307,0.0104
195,1,2,0.0307,0.0106
196,1,2,0.0307,0.0108
197,1,2,0.0307,0.0109
198,1,2,0.0307,0.011
199,1,2,0.0307,0.0111
0,2,1,0.0148,0.0087
1,2,1,0.0148,0.0087
2,2,1,0.0148,0.0086
3,2,1,0.0148,0.0086
4,2,1,0.0148,0.0086
5,2,1,0.0148,0.0086
6,2,1,0.0148,0.0086
7,2,1,0.0148,0.0086
8,2,1,0.0148,0.0086
9,2,1,0.0148,0.0086
10,2,1,0.0148,0.0086
11,2,1,0.0148,0.0086
12,2,1,0.0148,0.0086
13,2,1,0.0149,0.0086
14,2,1,0.0149,0.0086
15,2,1,0.0149,0.0086
16,2,1,0.0149,0.0086
17,2,1,0.0149,0.0086
18,2,1,0.0149,0.0086
19,2,1,0.0149,0.0086
20,2,1,0.0149,0.0086
21,2,1,0.0149,0.0086
22,2,1,0.0149,0.0086
23,2,1,0.0149,0.0086
24,2,1,0.0149,0.0086
25,2,1,0.0149,0.0086
26,2,1,0.0149,0.0086
27,2,1,0.0149,0.0086
28,2,1,0.0149,0.0086
29,2,1,0.0149,0.0086
30,2,1,0.0149,0.0086
31,2,1,0.015,0.0086
32,2,1,0.015,0.0086
33,2,1,0.015,0.0086
34,2,1,0.015,0.0086
35,2,1,0.015,0.0087
36,2,1,0.015,0.0087
37,2,1,0.015,0.0087
38,2,1,0.015,0.0087
39,2,1,0.015,0.0087
40,2,1,0.015,0.0087
