frame,oid,x,y,z
6.0,0.0,-0.003492536023259163,-3.92362053389661e-05,0.0036899999249726534
7.0,0.0,-0.00309709832072258,0.0001777809375198558,0.0036899999249726534
8.0,0.0,-0.0028022322803735733,0.0002138536365237087,0.0036899999249726534
9.0,0.0,-0.0026328132953494787,5.059515387983993e-05,0.0036899999249726534
10.0,0.0,-0.0025090056005865335,-0.0001358429144602269,0.0036899999249726534
11.0,0.0,-0.0023349809926003218,-0.00017974401998799294,0.0036899999249726534
12.0,0.0,-0.0020823017694056034,-5.7561035646358505e-05,0.0036899999249726534
13.0,0.0,-0.001809307956136763,0.00011266845831414685,0.0036899999249726534
14.0,0.0,-0.0016144448891282082,0.00016886333469301462,0.0036899999249726534
15.0,0.0,-0.0015343019040301442,6.423174636438489e-05,0.0036899999249726534
16.0,0.0,-0.001500544836744666,-8.780905045568943e-05,0.0036899999249726534
17.0,0.0,-0.0014169386122375727,-0.00014602944429498166,0.0036899999249726534
18.0,0.0,-0.0012471305672079325,-6.719311932101846e-05,0.0036899999249726534
19.0,0.0,-0.0010396704310551286,7.124889816623181e-05,0.0036899999249726534
20.0,0.0,-0.0008880374953150749,0.0001375522988382727,0.0036899999249726534
21.0,0.0,-0.000839659187477082,7.14569105184637e-05,0.0036899999249726534
22.0,0.0,-0.000844201014842838,-5.470550604513846e-05,0.0036899999249726534
23.0,0.0,-0.0008106500026769936,-0.00012068792420905083,0.0036899999249726534
24.0,0.0,-0.0006939461454749107,-7.209099567262456e-05,0.0036899999249726534
25.0,0.0,-0.0005287472158670425,4.209979306324385e-05,0.0036899999249726534
26.0,0.0,-0.00039970953366719186,0.00011328698747092858,0.0036899999249726534
27.0,0.0,-0.0003617900365497917,7.482055661967024e-05,0.0036899999249726534
28.0,0.0,-0.000382476020604372,-3.0236755264922976e-05,0.0036899999249726534
29.0,0.0,-0.0003790081827901304,-0.00010003756324294955,0.0036899999249726534
30.0,0.0,-0.00029963598353788257,-7.394842396024615e-05,0.0036899999249726534
31.0,0.0,-0.00016519188648089767,2.0351255443529226e-05,0.0036899999249726534
32.0,0.0,-5.013665577280335e-05,9.318401862401515e-05,0.0036899999249726534
33.0,0.0,-1.3862731975677889e-05,7.554144394816831e-05,0.0036899999249726534
34.0,0.0,-3.981958070653491e-05,-1.1411681953177322e-05,0.0036899999249726534
35.0,0.0,-5.506182787939906e-05,-8.234051347244531e-05,0.0036899999249726534
36.0,0.0,-3.4876097743108403e-06,-7.36369620426558e-05,0.0036899999249726534
