,Unnamed: 0,Frame,patternID,RX,RY,RZ,RW,X,Y,Z
2,29991,2500,ST03a.vsk,-0.345652725286994,-0.0155389802887645,-0.9380821750819309,0.0168690956133772,-801.3595674894909,4434.9854895515,1702.81562924357
14,30003,2501,ST03a.vsk,-0.318415955829757,-0.0910252543798184,-0.941658846202967,0.060035818523681,-799.5246914217402,4435.1324395130205,1703.43088012781
26,30015,2502,ST03a.vsk,-0.318876197493474,-0.0870923509061122,-0.9420527138994041,0.0571802179124693,-799.665497612267,4435.0585053051,1703.52772162992
38,30027,2503,ST03a.vsk,-0.315524770863011,-0.0931681806859153,-0.942089424965765,0.0650486314014057,-799.7527735545281,4435.23452471854,1703.6210117666901
50,30039,2504,ST03a.vsk,-0.34347097741130894,-0.019640947505992,-0.938741529492764,0.0201559336864644,-801.6537711591051,4435.04475519684,1703.14145650556
62,30051,2505,ST03a.vsk,-0.315382681910965,-0.0965816667617979,-0.941777532801734,0.0652749898968906,-799.8638923697459,4435.2348410839095,1703.59335443349
74,30063,2506,ST03a.vsk,-0.34298816447586,-0.0180905338478051,-0.93896128809816,0.0195844598502445,-801.7396687228211,4434.893049717821,1703.0163493753303
86,30075,2507,ST03a.vsk,-0.342517484064324,-0.019378066265433997,-0.939108069396266,0.0195524334259407,-801.7404966156099,4434.84632944442,1703.02443143492
98,30087,2508,ST03a.vsk,-0.342224746790274,-0.0193832520783078,-0.9392079798175681,0.0198716599760791,-801.754618387909,4434.83429247199,1703.03571300013
110,30099,2509,ST03a.vsk,-0.34188214094241,-0.0208215855092693,-0.939273722003615,0.0211645561019003,-801.749758777006,4434.78726748533,1703.10473953307
122,30111,2510,ST03a.vsk,-0.34011138272128,-0.0234944442936802,-0.939934091098018,0.0172093818161392,-801.904368588185,4434.95036714279,1703.22892682197
134,30123,2511,ST03a.vsk,-0.340377001852128,-0.0211167435681713,-0.939844864261848,0.0197284280129219,-801.852413859108,4434.8050124351,1703.2387759074802
146,30135,2512,ST03a.vsk,-0.34008734078683506,-0.0208051943095408,-0.939971731533049,0.0189970641164075,-801.847288713511,4434.77147661109,1703.22307824673
